Tabla M,nombre_dividido,standard_company_name,Estado
digi,['digi'],DigiMobil,Correcto
digi mobil,"['digi', 'mobil']",DigiMobil,Correcto
digi spain telecom,"['digi', 'spain', 'telecom']",DigiMobil,Correcto
digi spain telecom,"['digi', 'spain', 'telecom']",DigiMobil,Correcto
digihunting,['digihunting'],DigiHunting,Correcto
digihunting,['digihunting'],DigiHunting,Correcto
digital cubik - diseño web y marketing digital,"['digital', 'cubik', '-', 'diseño', 'web', 'y', 'marketing', 'digital']",Digital Cubik,Correcto
digital gold sl,"['digital', 'gold', 'sl']",Digital Gold,Correcto
digital group,"['digital', 'group']",Digital Group,Correcto
digital preventor,"['digital', 'preventor']",Digital Preventor,Correcto
digital silk - growing brands online,"['digital', 'silk', '-', 'growing', 'brands', 'online']",Digital Silk,Correcto
digital solutions 324 sl,"['digital', 'solutions', '324', 'sl']",Digital solutions 324,Correcto
digital sur sca,"['digital', 'sur', 'sca']",Digital Sur,Correcto
digital talent agency,"['digital', 'talent', 'agency']",Digital Talent Agency,Correcto
digital talent agency zona centro,"['digital', 'talent', 'agency', 'zona', 'centro']",Digital Talent Agency,Correcto
digital talent agency zona este,"['digital', 'talent', 'agency', 'zona', 'este']",Digital Talent Agency,Correcto
digital talent agency zona sur,"['digital', 'talent', 'agency', 'zona', 'sur']",Digital Talent Agency,Correcto
digital technology preventor,"['digital', 'technology', 'preventor']",Digital Preventor,Correcto
"digital technology preventor 2020, s.l.","['digital', 'technology', 'preventor', '2020,', 's.l.']",Digital Preventor,Correcto
digital training,"['digital', 'training']",Digital Group,Correcto
digital trends marketing,"['digital', 'trends', 'marketing']",Digital Trends Marketing,Correcto
docplanner,['docplanner'],Docplanner Group,Correcto
docplanner,['docplanner'],Docplanner Group,Correcto
e-frontiers,['e-frontiers'],e-frontiers,Correcto
e-frontiers,['e-frontiers'],e-frontiers,Correcto
eclipse eventos,"['eclipse', 'eventos']",Eclipse Eventos,Correcto
eclipse eventos sevilla.,"['eclipse', 'eventos', 'sevilla.']",Eclipse Eventos,Correcto
econocom servicios,"['econocom', 'servicios']",Grupo Econocom,Correcto
econocom servicios,"['econocom', 'servicios']",Grupo Econocom,Correcto
edreams,['edreams'],eDreams,Correcto
edreams odigeo,"['edreams', 'odigeo']",eDreams,Correcto
edwards lifesciences (spain),"['edwards', 'lifesciences', '(spain)']",Edwards Lifesciences,Correcto
edwards lifesciences corp,"['edwards', 'lifesciences', 'corp']",Edwards Lifesciences,Correcto
el cactus,"['el', 'cactus']",elCactus,Correcto
el grupo lps,"['el', 'grupo', 'lps']",LPS Grupo,Correcto
el ranchito imagen digital,"['el', 'ranchito', 'imagen', 'digital']",El Ranchito,Correcto
el xuixo de can castelló,"['el', 'xuixo', 'de', 'can', 'castelló']",Xuixo Castelló,Correcto
elecnor,['elecnor'],Elecnor,Correcto
elecnor deimos,"['elecnor', 'deimos']",Elecnor,Correcto
eltec it services,"['eltec', 'it', 'services']",Eltec IT Services,Correcto
eltec it services,"['eltec', 'it', 'services']",Eltec IT Services,Correcto
emais grupo,"['emais', 'grupo']",Emais Grupo,Correcto
"emais servicios integrales, sl","['emais', 'servicios', 'integrales,', 'sl']",Emais Grupo,Correcto
empresa,['empresa'],empresa anónima,Correcto
empresa anonima,"['empresa', 'anonima']",empresa anónima,Correcto
